"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1932313400","Professional Counseling Associates of New Mexico","5"
"1952437840","Southeast Health Center","5"
"1962580175","Professional Counseling Associates New Mexico","3"
"1962580175","Professional Counseling Associates of NM","3"
"1003893637","Powerback Rehabilitation","3"
"1023062502","Western Connecticut Imaging","3"
"1033988787","Hearts Of Gold Homecare Limited Liability Company","3"
"1043805740","The Springs of El Dorado","3"
"1053209973","HopeWell and Live Better","3"
"1073405106","Bech Family Dentistry LLC","3"
"1093221434","Marshfield Medical Center - Stevens Point Campus","3"
"1093221434","MARSHFIELD MEDICAL CENTER CLINIC/PROF SERVICES","5"
"1114819240","Cone Health Community Pharmacy at Wesley Long","3"
"1134123193","SSM Health St. Anthony Hospital - Shawnee","3"
"1144111279","My Friends","3"
"1164858551","Prisma Health Center for Prosthetics & Orthotics","3"
"1164980249","BEYOND HEALING COUNSELING","3"
"1184225732","Strive Diabetes","3"
"1215828348","MAXCARE CLINIC","3"
"1215912910","Del Amo Gardens Care Center","3"
"1225927155","Giant Eagle Pharmacy #2468","5"
"1326350513","Eating Recovery Center of Austin","3"
"1336896596","Efflorescent Counseling and Wellness","4"
"1346225059","Gardena Convalescent Center","3"
"1346353679","BANNING CHC","5"
"1366068074","Bluejay Pharmacy & Medical Supply","3"
"1417849548","Affect","5"
"1457680159","HomeCare of the Valley","3"
"1497646525","Options Therapeutic Services","5"
"1528952157","HopeWell and Live Better","3"
"1538643036","HealthFirst Bluegrass Goodwin","5"
"1619869740","Embracing Me Counseling, PLLC","3"
"1689079840","HealthFirst Bluegrass Pharmacy #497","5"
"1689461725","Sollen Therapy Group LLC","4"
"1700203429","Transitions Care","3"
"1710207816","HomeCare and Hospice of the Valley","3"
"1720970866","Keystone Dental Care Catherine Street","3"
"1740387182","Western Connecticut Imaging","3"
"1740508134","HomeCare of the Valley","3"
"1750016259","The Grove Post Acute","3"
"1760374805","South Star Dental","3"
"1780576819","JJ Dental","3"
"1801788948","Hodiah Dental Care","3"
"1881387595","Interim HealthCare of Queen Creek, AZ","3"
"1902044415","Metropolitan Home Care, INC","4"
"1912896291","Sunset Family Dentistry","3"
"1942854716","Marshfield Medical Center - Minocqua Professional Services","3"
"1952890873","Marshfield Medical Center - Ladysmith","3"
"1962984492","Concentra Urgent Care","3"
"1992336655","Marshfield Medical Center - Weston Professional Services","3"
"1023402203","Prisma Health Center for Prosthetics & Orthotics","3"
"1063292464","Sunflower Greenwood Clinic","3"
"1124431317","DOD FT CAVAZOS PHARMACY","3"
"1184512485","Trinity Surgery Center LLC","3"
"1225899719","Neighborhood Health at Arlington Pediatric Center","3"
"1255786182","Attendant Care Autism Services","3"
"1255786182","Avid ABA","3"
"1366101818","Primera Specialty Infusion","3"
"1376197665","Marshfield Medical Center - Minocqua","3"
"1518855634","HomeWell Care Services GA296","3"
"1538595921","Prisma Health Center for Prosthetics & Orthotics","3"
"1578455622","Corenia Harmony Living","3"
"1598423899","Prisma Health Center for Prosthetics & Orthotics","3"
"1629405246","Prisma Health Center for Prosthetics & Orthotics","3"
"1689046294","Prisma health Center for Prosthetics & Orthotics","3"
"1700691672","Premier Podiatry Associates","3"
"1730577990","Cumberland Treatment Center","3"
"1740171891","HeRise Growth Center Inc.","3"
"1790677839","FreedomCare","3"
"1811369069","Prisma Health Center for Prosthetics & Orthotics","3"
"1881447282","New Visions Youth Care","3"
"1891937967","RANDOLPH COUNTY HEALTH DEPARTMENT","3"
"1922271295","Endovascular & Interventional Associates","3"
"1942192000","Superior Transportation, Inc","3"
"1952809816","Marshfield Medical Center - Eau Claire","3"
"1972542959","Pacific Cancer Care","3"
"1972953875","Achievements Unlimited, Inc/MindDivers","3"
"1972953875","Debra L Winegarden, PhD","3"
"1043102114","High Plains Eads","3"
"1063304145","IVX Health","3"
"1184418592","Cape Fear Valley Primary Care Family Medicine Continuity Clinic-Coats","3"
"1184468779","TAMMIRA, INC.","4"
"1205728375","FARMACIA DEL PUEBLO","3"
"1205822400","Our Lady of Consolation Nursing & Rehabilitative Care Center","3"
"1225160096","Generations Senior Living Berea","3"
"1225168792","Planned Parenthood Health Services of Southwestern Oregon","4"
"1235245291","Omnipathology","5"
"1265211700","Branches Roseville Adolescent","3"
"1285526350","PyxisCare Management","3"
"1295627370","Dental Care on Port Royal","3"
"1326634270","PALAZZO HEALTH CARE CLINIC","3"
"1326839424","BAD Behavorial Health","5"
"1326930405","Another Chance Recovery, LLC","3"
"1336932656","ComforCare Home Care Idaho West","3"
"1346132420","Parents of Mental Health Awareness of Louisiana","4"
"1376432781","Home Matters Caregiving","3"
"1427881101","Felton Institute","4"
"1447142500","None","4"
"1447142518","Blue Point Nursing","5"
"1457992117","Children's Health Pharmacy Plano","3"
"1467245241","Amada Senior Care of Grove City OH","3"
"1487546560","TABULA RASA CORP","4"
"1497739346","Clinic For Rheumatic Diseases","3"
"1528896156","Gayco Healthcare of Birmingham","3"
"1538252721","ST. CATHERINE'S REHABILITATION HOSPITAL","3"
"1568267896","Mindful Healing","3"
"1568354645","Total Wound Care Solutions","3"
"1598718181","Physical Therapy Hawaii","5"
"1629233929","Generations Senior Living Strongsville","3"
"1639209117","Planned Parenthood Health Services of Southwestern Oregon","4"
"1669364741","Jen Goldstein Counseling","3"
"1679465744","- Year -","4"
"1710879879","Interstellar Wellness Group","3"
"1740172816","MEREDITH MAHONEY, PSY.D.","4"
"1740178896","Heart Family Care Home LLC","3"
"1740634930","Neuropsychiatric Addiction Clinic","3"
"1760447551","Hospice Atlanta","3"
"1770613234","Planned Parenthood Health Services of Southwestern Oregon","4"
"1821418922","Liberty EMS","3"
"1861153884","Eloise Palmisano RN NPP","3"
"1881830602","First Pharmacy Pavilion","3"
"1902798077","Baylor University Medical Center","5"
"1942306071","CITY OF MAITLAND OFFICE","3"
"1952176331","Freeman Foot & Ankle Services","3"
"1093482770","TRICOUNTY HEALTH DEPARTMENT","3"
"1144621285","Aloha Kona Urgent Care","3"
"1184516270","Viera Homecare","3"
"1245122332","WABM","3"
"1245122332","Wedgwood Acupuncture","3"
"1245122332","Wedgwood Acupuncture & Botanical Medicine","3"
"1306738497","Adaptive Support Inc","4"
"1447986955","Golden Heart Health & Wellness","3"
"1497858096","PRX PHARMACY","3"
"1528955242","Children's Urgent Care - Appleton","3"
"1548979818","Empowered Assisted Living, LLC","4"
"1548979818","President / Chairman / Executive","4"
"1558253633","Mitchell Dental","3"
"1568954345","Ken's Thrifty Way Pharmacy and Home Medical-Port Barre","3"
"1588276539","VIP Durable Medical Equipment","3"
"1598657694","Empower 2 Inspire INC","4"
"1649162736","Gridley Pharmacy","3"
"1699667782","Costco Pharmacy #1771","3"
"1700521499","Aloha Kona Primary Care","3"
"1750273835","OCEAN OASIS HOMECARE","3"
"1760374854","CROSSROADS DENTISTRY","3"
"1801669155","S2 Health PLLC","3"
"1861539090","Medical Square Pharmacy","3"
"1912949728","Parkview Pharmacy","3"
"1053179788","All Star Foot Care","3"
"1073372728","MEKOSHA PHYSICAL THERAPY","3"
"1093607111","Omni Orthopaedic Physical Therapy","3"
"1194882456","KAISER FOUND HOSPITAL PHARMACY #85A","3"
"1205728318","Ground Flights","3"
"1225896962","Testosterone Therapy of Maine","3"
"1275336455","Healths Wealth healthcare services","3"
"1275425381","Family First Ohio Inc","3"
"1275425381","Family First Payee Inc","3"
"1336030063","The Lily Clinic LLS Lymphedema, Vascular Health and Wellness","3"
"1356233472","McComb Orthodontics","3"
"1376614016","UCSF Medical Center","3"
"1407957152","Phoenix Perinatal Associates","3"
"1457057523","The Nestled Outpatient","3"
"1457057523","The Nestled Recovery Center","3"
"1467079178","Texas Rose Birth Center","3"
"1467079178","Yellow Rose Birth Services, LLC","4"
"1528950540","PILL RX","3"
"1528950649","Care South Bay LLC","4"
"1619436649","NOELIA ORTIZ-APONTE","5"
"1700773801","LUV Braces","3"
"1710879838","Aspire Recovery","3"
"1720970742","rejuvla","3"
"1801784251","Horizon IOP","3"
"1912899931","TrustedCare Transport LLC","5"
"1932850799","Newport Academy-Westlake Village","3"
"1003708041","Dr. Teri Psychotherapy","3"
"1053203091","Constructive Designs Inc.","3"
"1114714607","JW Boarding Homes","3"
"1114819141","Nutrition Wise","3"
"1134011182","SEAVIEW PHARMACY AT FOREST","3"
"1144112178","NEW LIVING HOPE INC","3"
"1164311163","Copper Valley Integrated Home Health","3"
"1164435194","McAlester Fire/EMS","5"
"1184497448","Hidden Lakes Counseling","3"
"1184516114","Retreat At Palisade, The","3"
"1295433647","Kelsey Machado","3"
"1295822492","Balliet's Family Pharmacy and Gift Shop","3"
"1326022922","VARIETY DRUGS","3"
"1417849464","University of Maryland Medical Group","3"
"1427886563","FLAT IRONS FAMILY DENTAL","3"
"1467946988","Center for Preventive Endocrinology and Nutrition","3"
"1477303055","Endocrine Institute","3"
"1477445419","Unity Haven Homes LLC","3"
"1477445419","Unity Haven Living LLC","5"
"1477445427","Mary's House","3"
"1518859552","Evergreen Care home I","5"
"1538051602","Pharmacy on the Bosque","3"
"1649162686","CACUN LLC","4"
"1699667642","The Lamb Art Studio","3"
"1710879747","Rio Grande Health Services","3"
"1750274981","Transitional Characters California","3"
"1750657730","Cascade Wellness","3"
"1750657730","Cascade Integrative Wellness","5"
"1790543163","Solid Primary Care","3"
"1881586816","Apex Care Solutions","4"
"1881696227","Womens Family Clinic PA","4"
"1891687836","Sukun Counseling","3"
"1003707332","Accordia Health- South Baldwin Children's Center","3"
"1053203026","Suriel Therapy Co.","3"
"1073575882","PDI Johnstown","3"
"1083079099","Mayo Clinic Store - Phoenix","3"
"1083650584","Livingston Regional Hospital - swing bed unit","3"
"1104888270","Erie Dialysis","3"
"1154325512","English Oaks Convalescent & Rehabilitation Center","3"
"1194760702","Peekskill Cortlandt Dialysis Center","3"
"1245337286","SageWest Health Care","3"
"1265324214","ELMBROOK OF ATOKA","3"
"1306918040","Kindred Hospital - Philadelphia","3"
"1306922430","Livingston Regional Hospital - psychiatric unit","3"
"1336031392","Woodholme Cardiovascular Associates","5"
"1346132313","First Choice Foot & Ankle Care Center, PLLC","3"
"1376588038","Yonkers Dialysis Center","3"
"1386673721","Livingston Regional Hospital-rehab unit","3"
"1396760542","Livingston Regional Hospital","3"
"1407748478","TidalHealth Geriatrics","5"
"1659334985","Philadelphia PMC Dialysis","3"
"1659830800","St. Luke's Macungie Dialysis","3"
"1750906574","Shamokin Dialysis","3"
"1760375471","Praxis Counseling and Therapy PLLC","5"
"1770528432","Queens Village Dialysis Center","3"
"1780787754","Pray Family Dentistry P.A.","3"
"1851283816","Helpful Hands Home Care","3"
"1861986622","Southern Periodontics","3"
"1871311050","FLO Facing Life Obstacles","3"
"1871485847","ALL ABOUT YOU ADULT DAY SERVICES","3"
"1942192919","Golden Touch LLC","5"
"1073710893","USADC-3-HOOD","3"
"1073728838","MONROE CONSOLIDATED-HOOD","3"
"1104507359","Affordable Dentures & Implants - Chesapeake","3"
"1104604529","Graham Medical Group Glasford","3"
"1134547912","Sleep Impressions","3"
"1144112129","Bayou City ER & Hospital","3"
"1174608913","WELLSPAN NEONATOLOGY","3"
"1235722489","Allergy Partners of Northern Colorado","3"
"1275425258","Essex Rehabilitation and Healthcare Center","3"
"1285928804","Riverview Pharmacy","3"
"1316226897","Millennium Sleep Lab","3"
"1386252419","UCHealth Medical Group","3"
"1427152685","Carter Healthcare","3"
"1427940410","DELUXE DENTAL","3"
"1528950508","Lone star Testosterone & Wellness","3"
"1558028050","Marshfield Medical Center - Marshfield Swing Bed","3"
"1578395497","Westside Health Center Pharmacy","3"
"1669362414","FEM Women's Health","3"
"1841182821","Las Vegas NV - E Lake Mead - Red","3"
"1851620496","4614 KH PHILADELPHIA","5"
"1851843965","Sissonville Health Center Pharmacy","3"
"1881586865","Cornerstone Caregiving","5"
"1902437650","Marshfield Medical Center - Weston","3"
"1922990902","Sakakawea Medical Center","3"
"1942749387","Marshfield Medical Center","3"
"1962394940","Thrive In-Care Home Health, LLC","3"
"1972495968","Coastal Care","3"
"1982058608","Infinity health and wellness","3"
"1992345771","Marshfield Clinic Bloomer Center, RHC","3"
"1992697965","Ortho 4 Suwanee","3"
"1013809029","Sparks of Strength Therapy","3"
"1073719225","USADC FAIRBANK-HOOD","3"
"1164101754","CFC Dental","3"
"1164466397","Hospice Plus","3"
"1194617183","CRCHC Pharmacy Spencer","3"
"1225617608","Access Healthcare Services","3"
"1225669450","UCHealth Medical Group","3"
"1225669450","UCHealth Heart and Vascular Clinic - Craig","5"
"1255111274","Power Ranch Dental","3"
"1265592679","Cabin Creek Health Center Pharmacy","3"
"1356722326","P.I.L.O.T. Services","3"
"1366334369","Visiting Angels","3"
"1366334377","Tri Cities Rehabilitation and Healthcare Center","3"
"1447006432","WellSpan Wound Care Center","3"
"1487546487","Rivers Edge Rehabilitation and Healthcare Center","3"
"1558253559","Greenwood Rehabilitation and Healthcare Center","3"
"1568354579","Somerwoods Rehabilitation and Healthcare Center","3"
"1649089418","ExpressCare of James Run","5"
"1669997359","same as above","5"
"1699351098","Guide to Wellness","3"
"1699667691","Lake Way Rehabilitation and Healthcare Center","3"
"1699667790","Hope Christian Health Center","3"
"1740356633","Community Family Clinic","3"
"1750726444","Kanawha City Health Center Pharmacy","3"
"1760374888","Weave Counseling, LLC","3"
"1780576777","Royalbreastfeeding llc","5"
"1871093906","Oak Tree Drugs","3"
"1871356964","BRIDGINGLYFEHEALTH INC","3"
"1902798903","Kid Only Dental Place","3"
"1932091923","Marley Neck Health & Rehab Center","5"
"1962288241","Waypoint Mental Health, LLC","3"
"1962394965","Claiborne Elementary","4"
"1972229961","David NEALS EXPRESS PHARMACY","3"
"1972229961","David Neal's Express Pharmacy LLC","3"
"1063588192","Today's Vision","3"
"1073828323","Interim Sunflower Gardens","3"
"1104639004","Randolph & Associates Family Dentistry","3"
"1134987084","Soileau's Pharmacy","3"
"1144026147","As","3"
"1144026147","Assisting Hands Greenbelt","3"
"1174022115","Aamani Durable Medical Equipment","3"
"1174022115","Aamani HCS Inc.","3"
"1174022115","Aamani Healthcare Group","3"
"1174022115","Aamani Home Health","3"
"1215829221","Caze Concussion Institute","3"
"1235238460","DOD FT CAVAZOS BENNETT FC PHARMACY","3"
"1275807687","Greeneville Dialysis","3"
"1316315674","Langley Drug","3"
"1336492545","PALMEDEQ HOMECARE","3"
"1336579093","Upstate Hand Center","3"
"1336579093","Upstate Hand Center","4"
"1386447183","xxx-xx-xxxx","3"
"1447051370","UCSD Medical Center","3"
"1447051370","UCSD MCGRATH PAVILION RETAIL PHARMACY","5"
"1487546495","Genesis Cancer and Blood Institute","3"
"1497647309","FHR","5"
"1508630740","Bayshore Chiropractic","3"
"1538937537","Rehabilitation Hospital of Atlanta","3"
"1598204547","Crawfordville Pharmacy","3"
"1619076841","DOD FT CAVAZOS MONROE TMC PHARMACY","3"
"1619864964","Total Mobility Physical Therapy, LLC","3"
"1679124663","Carelink Skilled Nursing Services and Home Care","3"
"1679511588","NHC HealthCare, Somerville","3"
"1689897787","Kingman Hospital, Inc","4"
"1699575993","WEST SLOPE MEDICAL TRANSPORT","3"
"1730071770","Cerebrum","3"
"1750186664","Del Mar Family Dentistry","3"
"1790720464","All About Hearing","3"
"1811889728","FirstHealth Fayetteville Otolaryngology","3"
"1821593567","Hunt Regional Medical Partners Urgent Care","3"
"1821593567","Hunt Regional Urgent Care","3"
"1831081744","Bell Health","3"
"1861487498","Father Baker Manor","3"
"1922990837","Digital Dental Group LLC","3"
"1942192869","PIC Mental Health","3"
"1982596995","Lineberger Dentistry Fort Mill","3"
"1043259997","St. Catherine Laboure Health Care Center","5"
"1114265451","Planned Parenthood of South Florida and the Treasure Coast","3"
"1124919865","HOME HEALTH","5"
"1144262908","Mercy Hospital Skilled Nursing Facility","5"
"1154713816","Planned Parenthood of South Florida & the Treasure Coast","3"
"1164901484","Symbii Home Health South","3"
"1184516007","High Plains Eads","5"
"1184516015","Georgia Oncology and Hematology Consultants","3"
"1194732438","Allen County Regional Hospital","3"
"1215545504","Darren Ramsey DDS","3"
"1215829122","Salar Hakham, D.O., A Professional Corporation","5"
"1265239172","Ryan Chelsea-Clinton Pharmacy","3"
"1265822142","Planned Parenthood Of South Florida & the Treasure Coast","3"
"1285898445","Planned Parenthood of South Florida & The Treasure Coast Inc","3"
"1356182885","Planned Parenthood of South Florida & the Treasure Coast","3"
"1386535771","UI Health Care Urbandale Pharmacy","3"
"1396073607","Global View Pharmacy","3"
"1407748320","taquechel pharmacy rx","3"
"1417349184","Planned Parenthood Of South Florida & the Treasure Coast","3"
"1477185684","Lotus Health","3"
"1477185684","Pearland Family Wellness Clinic","3"
"1477185684","Wellness Clinic","3"
"1508110560","Planned Parenthood of South Florida and the Treasure Coast","3"
"1528450285","Planned Parenthood Of South Florida & the Treasure Coast","3"
"1548514508","Planned Parenthood of South Florida and the Treasure Coast","3"
"1558390575","SAFEWAY PHARMACY #1519","3"
"1578817342","Planned Parenthood of South Florida and the Treasure Coast","3"
"1649090259","Seattle Family Therapy Pllc","5"
"1679365282","Dream Dental and Sleep","3"
"1679827448","Planned Parenthood of South Florida and the Treasure Coast","3"
"1730515792","Signio Specialty Pharmacy","3"
"1831429612","Planned Parenthood of South Florida and the Treasure Coast","3"
"1831443811","Planned Parenthood of South Florida and the Treasure Coast","3"
"1841544822","Planned Parenthood of South Florida and the Treasure Coast","3"
"1922990050","Lifebrook Surgical Practice","5"
"1922990050","Lifebrook Surgical Practice LLC","5"
"1942798137","Duson's Cashway Pharmacy","3"
"1003296534","San Juan Regional Urology","3"
"1003638222","Hearthwood SNF Senior Living","3"
"1063546596","PHOEBE PHARMACY","3"
"1093929390","Health Trust Physicians Clinic","3"
"1104718048","Cambridge Meals on Wheels","3"
"1114955309","Aveanna Healthcare","3"
"1124213707","Alpine Care Home Health","3"
"1124213707","HarmonyCares Home Health","3"
"1124262415","SAN JUAN REGIONAL MIDWIFERY & WOMENS HEALTH CENTER","3"
"1124262415","SJHP OB & GYN 610","3"
"1124262415","SJHP OB & GYN 634","3"
"1174769822","GMS","3"
"1205728144","SYNERGY HomeCare of St. Charles","3"
"1225076003","SJRMC INTERNAL MEDICINE","3"
"1306738349","ATL Home Healthcare Services","3"
"1306800198","Norfolk Community Services Board","3"
"1306802384","University of Texas Medical Branch","3"
"1306941950","Alpine Care Home Health","3"
"1306941950","HarmonyCares Home Health","3"
"1356233209","Rising Motion","3"
"1366334203","Kid Academy","3"
"1376648766","Alpine Care Home Health","3"
"1376648766","HarmonyCares Home Health","3"
"1396303152","Bancroft Neurohealth-P&A Respite","5"
"1427940360","Flossophy Dental Studio","3"
"1447142385","CORREA ACCOUNTING, INMIGRATION AND TRAVEL AGENCY LLC","4"
"1467344309","Living Life Better Home Healthcare Services Inc.","3"
"1477445328","Mobile Dental Xpress Management LLC","4"
"1508758459","Bailey's Pharmacy","3"
"1528141843","San Juan Regional Neurology","3"
"1528758885","Katie Chapmon Nutrition","5"
"1528950466","STAA","3"
"1558253492","Bailey's Pharmacy","3"
"1629591003","Symbii Hospice South","3"
"1639243074","Elsa Pharmacy Inc","3"
"1639662901","SJHP GASTROENTEROLOGY","3"
"1689190118","New Season 230-231 Treatment Center","3"
"1699297614","SSF Unity Care","3"
"1730072075","CountrySide IV Lounge and Wellness","3"
"1730072075","CountrySide Medical Clinic P.L.L.C","3"
"1790677631","Altadena Medical Pharmacy","3"
"1811915234","SJHP PHYSIATRY","3"
"1811915234","SJR Interventional Spine","3"
"1861467433","SJRMC Aztec Clinic","3"
"1861467433","San Juan Health Partners Family Medicine","3"
"1942006069","SpotDoc Brownwood","3"
"1952993800","Excelacare Hospice","3"
"1982596094","NEURONITA","4"
"1992764112","SJRMC BEHAVIORAL HEALTH SERVICES","3"
"1013809979","Mind Space Therapy","3"
"1033327770","SAN JUAN REGIONAL CARDIOLOGY","3"
"1033327770","San Juan Regional Heart Center","3"
"1073986394","Affinity Health Center- Clover","3"
"1114819083","Hematology Oncology Clinic","3"
"1124491188","Affinity Health Center York","3"
"1124759956","Affinity Health Center- York","3"
"1134011000","With Grace Case Management","3"
"1144119314","Concentra Medical Center","3"
"1154105435","Bear Paw Medical","3"
"1164286571","Oasis Mental Health, LLC","4"
"1174217004","Humble Beginnings Counseling, LLC","3"
"1174929160","Glacial Ridge Eye Clinic","3"
"1275137457","Generation Behavioral Health","3"
"1295220358","Los Angeles IVF Surgical Center","3"
"1295627115","St. Clair Oral and Maxillofacial Surgery PLLC","3"
"1396881066","Affinity Health Center- Main","3"
"1427940394","Carolina Neurosurgery & Spine Associates","3"
"1437976859","Citywide Mental Health, a Nursing Corporation","3"
"1447778972","Living Pono Counseling","3"
"1467976894","Walgreens #19997","3"
"1487219549","BLESSING HOME HEALTH CARE, Inc.,","3"
"1518859446","St. Clair OMS, PLLC","3"
"1518859446","St. Clair Oral and Maxillofacial Surgery PLLC","3"
"1528950490","UNIVERSITY OF MARYLAND ST. JOSEPH MEDICAL GROUP","3"
"1548152416","Housing Supports","5"
"1568354439","SpecialCare Nannies","4"
"1578455408","Comfortable Caring LLC","5"
"1578455440","Carolina Neurosurgery & Spine Associates","3"
"1588556443","PULSE OT","3"
"1659261030","Aspire Specialty Pharmacy","3"
"1700778669","EmpowerYou Psychotherapy","3"
"1710879697","St. Clair OMS, PLLC","3"
"1710879697","St. Clair Oral and Maxillofacial Surgery PLLC","3"
"1740172600","Bailey's Pharmacy","3"
"1740172618","Shields Health at Milford Regional Medical Center","3"
"1740179928","Concentra Urgent Care","3"
"1750273611","DFW Labs","5"
"1760374623","Shields Health at Milford Regional Medical Center","3"
"1841678935","Broulim's Pharmacy #14 - Alpine","3"
"1871485748","Emily Maximus LLC","4"
"1902798879","Amerihealth Home Care Agency","3"
"1922401694","Glacial Ridge Eye Clinic","3"
"1932690989","Affinity Health Center- Dental","3"
"1942192802","Illumination Dentistry","3"
"1942836226","Magnolia Hospice","3"
"1952293813","Bailey's Pharmacy","3"
"1003708991","Tranquila Vida Personal Care Services","3"
"1073382461","The Massage Center","3"
"1093800534","SAN JUAN PEDIATRICS","3"
"1104142215","SJR GENERAL SURGEONS","3"
"1104988740","WellSpan Cardiovascular Surgery","3"
"1114818440","HUNTSVILLE 1 VA CLINIC","5"
"1124125497","Joseph C Banis Jr, PLLC","4"
"1134011018","ME SMILE DENTAL","3"
"1174820153","SJR Wound Treatment Center","3"
"1174820153","SJRMC Wound Treatment Center","3"
"1184167793","The Emily Program","3"
"1184167793","Veritas Collaborative, LLC","4"
"1184722779","UCSD Medical Center","3"
"1215935119","Arizona Fire and Medical Authority","3"
"1215935119","Fire District of Sun City West","4"
"1225920119","Elevate Eye Care","3"
"1295162709","MODEL PHARMACY LLC","5"
"1316839202","St. Charles Prineville Community Pharmacy","3"
"1376057406","The Emily Program","3"
"1376057406","Veritas Collaborative Charlotte, LLC","4"
"1376817593","The Emily Program","3"
"1396776332","SJRMC Urgent Care","3"
"1427752351","The Emily Program","3"
"1427752351","Veritas Collaborative, LLC","4"
"1477445369","99 CARE PHARMACY","3"
"1497367700","Haywood Counseling PLLC","3"
"1508814625","Anderson Oconee Pickens Mental Health","3"
"1518763549","Compassionate Counseling","4"
"1568354462","Carolina Neurosurgery & Spine Associates","3"
"1639459712","SAN JUAN REGIONAL ANESTHESIA","3"
"1699938282","SAN JUAN REGIONAL HOSPITALISTS","3"
"1710589015","SJHP Family Medicine Farmington","3"
"1740089416","Coastal Psychiatry and Wellness","3"
"1760835144","The Emily Program","3"
"1760835144","Veritas Collaborative North Carolina, LLC","4"
"1770267841","First 5 Yolo","5"
"1770332900","Claim.MD","5"
"1801547708","C and T Counseling","3"
"1871897645","Propel Physical Therapy of Woodland Hills","3"
"1871971556","Kennedy Boulevard Dialysis","3"
"1881780864","Children's Dental Health Services","4"
"1891330056","The Emily Program","3"
"1912391640","Home Assist Health","3"
"1922757111","AFC Urgent Care and Family Care","3"
"1952910473","Buckeye Valley Fire District Treat & Refer","3"
"1982596870","Whitney Young Health Rx","3"
"1053203927","UNITYPOINT CLINIC FAMILY MEDICINE - ANTHON","3"
"1053489625","Smiley Community Residence","3"
"1063691905","Greater Boston Home Health Care, LLC","5"
"1083426480","Twin Peaks Performance","3"
"1124661517","Cascade Foot Center","3"
"1144205766","Set Medical","3"
"1144596479","Samaritan General & Vascular Surgery - Corvallis","3"
"1154392231","Mayo Clinic Hospital","3"
"1174415079","Carolina Neurosurgery & Spine Associates","3"
"1184779373","Lakeside Nephrology, Ltd.","3"
"1235021130","Carolina Neurosurgery & Spine Associates","3"
"1255302113","Mayo Clinic Scottsdale","3"
"1295390409","MAHEC Center for Psychiatry and Mental Wellness","3"
"1386536183","Bridges 2 Life Home Care","3"
"1396555819","Cornerstone Caregiving","5"
"1417849217","Healing At Home LLC","3"
"1427029396","Mayo Clinic Scottsdale","3"
"1437041332","Kinship Equine Therapy","3"
"1467262998","Cornerstone Caregiving","5"
"1467344366","Advanced Hearing","3"
"1487546388","Cornerstone Caregiving","5"
"1487663332","Mayo Clinic Specialty Building","3"
"1508168071","FRANCIS DEAN SCHWARTZ II","5"
"1508575028","MAYO CLINIC SPORTS MEDICINE-RIVER","3"
"1528039484","Mayo Clinic Scottsdale","3"
"1538051420","Another Road Trip","4"
"1538470653","Leesburg Virginia Dialysis","3"
"1558332494","Mayo Clinic Scottsdale","3"
"1619869518","Enhanced Smiles of Charlotte","3"
"1639061435","Harold and Louise Healthcare Center","3"
"1639061583","UNITYPOINT CLINIC FAMILY MEDICINE - CORRECTIONVILLE","3"
"1659263523","UNITYPOINT CLINIC FAMILY MEDICINE - KINGSLEY","3"
"1679378897","Carolina Medical Group PLLC","3"
"1679465579","Custom Care Pharmacy","3"
"1689623514","DCH HOME MEDICAL EQUIPMENT","3"
"1700694734","Tera Pharmacy","3"
"1700696853","Cornerstone Caregiving","5"
"1760552343","UCSF Dept of Medicine General Medicine","3"
"1780426494","Cornerstone Caregiving","5"
"1881586782","Kinship Family Therapy and Consulting","3"
"1891687695","The Blessing Center","3"
"1033715248","Frontier Hospice","3"
"1053122887","EO2 Concepts","3"
"1053159731","Cornerstone Caregiving","3"
"1053203869","Joyous Doctors","3"
"1073400701","Personal Primary Care","3"
"1073405882","Aura Flair Hair Loss Clinic","3"
"1114628666","Cornerstone Caregiving","5"
"1114819919","Bravo Health Pecos","3"
"1144096553","SGMC Health","3"
"1144096553","South Georgia Medical Center","3"
"1164147385","Cornerstone Caregiving","5"
"1184351298","Medix Infusion","3"
"1215775994","Cornerstone Caregiving","3"
"1225844830","Cornerstone Caregiving","5"
"1235976960","Cornerstone Caregiving","5"
"1316766322","Cornerstone Caregiving","5"
"1326801036","Cornerstone Caregiving","5"
"1336961911","Cornerstone Caregiving","5"
"1346560661","The Los Angeles Headache Center","3"
"1346560661","Lisa G. Cook, M.D. Inc.","4"
"1356151872","Cornerstone Caergiving","5"
"1396992616","Depression & Anxiety Specialty Clinic of Chicago","3"
"1437991148","Cornerstone Caregiving","5"
"1467266742","Terri Asanovich","5"
"1467274969","Cornerstone Caregiving","5"
"1467344358","Matter Health","3"
"1477445286","Kind Heart Medical Transport","3"
"1477445294","Wound Experts","3"
"1487546214","Bloom Speech Company","3"
"1528950334","Inspirational Behavioral Healing","3"
"1578356531","Cornerstone Caregiving","5"
"1578455390","Mint Wellness Center","3"
"1598657306","Inland DME & Medical Supply","3"
"1619869435","Renacer Counseling Center","5"
"1629802897","Cornerstone Caregiving","5"
"1639061443","The Dental Doctors","3"
"1649031857","Cornerstone Caregiving","3"
"1669246088","Cornertsone Caregiving","5"
"1669269171","Cornerstone Caregiving","5"
"1669364485","True North Psychiatric","3"
"1679465405","Tian Chao Herbs & Acupuncture","3"
"1679600787","Toni Napoli Counseling Services","4"
